region1,region2,statistic,pvalue,hierarchy_level,corrected_pvalue,significant
L,L,0.05466161529401911,0.0,0,0.0,True
L,R,0.06705698762998534,0.0,0,0.0,True
R,R,0.08494658153146435,0.0,0,0.0,True
FB,FB,0.020442459307499657,1.7875157190642107e-217,1,3.351591973245395e-217,True
FB,HB,0.07302424175768947,0.0,1,0.0,True
FB,MB,0.05591286503984437,1.2668100420339203e-135,1,2.1113500700565338e-135,True
FB,VS,0.07586021409516719,3.518968358186334e-56,1,3.770323240913929e-56,True
FB,WM,0.04655919663852141,0.0,1,0.0,True
HB,HB,0.27972925584267555,0.0,1,0.0,True
HB,MB,0.3496469915187941,0.0,1,0.0,True
HB,VS,0.30875462061282083,5.693014353636837e-90,1,7.763201391322961e-90,True
HB,WM,0.20694180597730033,0.0,1,0.0,True
MB,MB,0.39379877489706555,2.354320345514698e-62,1,2.716523475593882e-62,True
MB,VS,0.5752074845034448,4.2615622365505335e-67,1,5.3269527956881665e-67,True
MB,WM,0.31554488689794263,1.286261e-316,1,2.7562735e-316,True
VS,VS,0.24605739193963805,0.0026552415728346604,1,0.0026552415728346604,True
VS,WM,0.33219598682244444,1.82332735243036e-101,1,2.7349910286455402e-101,True
WM,WM,0.23322379546664845,0.0,1,0.0,True
L-FB,L-FB,0.02610727307767799,9.949512853324889e-70,2,1.9530525230600708e-69,True
L-FB,L-HB,0.05755887957565491,1.961364475801189e-108,2,8.66269310145525e-108,True
L-FB,L-MB,0.015433267946147139,7.782056508495352e-10,2,7.931711441351032e-10,True
L-FB,L-VS,0.07166279927087713,9.316906868888017e-14,2,1.0287418001063851e-13,True
L-FB,L-WM,0.04047562489778951,3.22765171546099e-78,2,7.12773087164302e-78,True
L-FB,R-FB,0.018977439708453524,8.17087945335943e-102,2,2.8870440735203325e-101,True
L-FB,R-HB,0.048755765196469576,1.5301695680513048e-91,2,4.50549928370662e-91,True
L-FB,R-MB,0.08634897116649862,1.2950863981926213e-53,2,2.2141799711035137e-53,True
L-FB,R-VS,0.055672812713045465,9.160644461228046e-11,2,9.51988542049189e-11,True
L-FB,R-WM,0.033541137358231374,1.0337042144199134e-64,2,1.9566544058662646e-64,True
L-HB,L-HB,0.30193905693304046,2.237506955274497e-109,2,1.0780715329958941e-108,True
L-HB,L-MB,0.29169866423370056,3.767655551322115e-70,2,7.680220931541233e-70,True
L-HB,L-VS,0.30251982825553864,2.555038701390021e-22,2,3.3854262793417775e-22,True
L-HB,L-WM,0.16639700462239426,3.205897691905686e-118,2,1.887917529677793e-117,True
L-HB,R-FB,0.10575547381437922,8.267821042321639e-204,2,2.190972576215234e-202,True
L-HB,R-HB,0.2829355345254602,1.0088112536225488e-208,2,5.3466996441995085e-207,True
L-HB,R-MB,0.38668829924525217,3.892776615840134e-99,2,1.2894822539970444e-98,True
L-HB,R-VS,0.3077045854932966,9.124746195320172e-23,2,1.2400296111588952e-22,True
L-HB,R-WM,0.2309036192564504,3.2390010291639777e-170,2,2.861117575761514e-169,True
L-MB,L-MB,0.32873040014772104,3.7601108396933525e-12,2,3.985717490074953e-12,True
L-MB,L-VS,0.5966862983624157,7.005989356335896e-18,2,8.251498575240055e-18,True
L-MB,L-WM,0.26013713561616625,2.4482926142093007e-63,2,4.4744658121756184e-63,True
L-MB,R-FB,0.04343752438994033,9.816106578616071e-27,2,1.4864389961904338e-26,True
L-MB,R-HB,0.34432437134172705,1.084852395482756e-85,2,2.7379608076469553e-85,True
