region1,region2,statistic,pvalue,hierarchy_level,corrected_pvalue,significant
L,L,1229.6335837866611,9.737778670563122e-268,0,1.4606668005844683e-267,True
L,R,2479.502575005923,0.0,0,0.0,True
R,R,1186.5855400411117,2.168821585535296e-258,0,2.168821585535296e-258,True
FB,FB,532.0808623323506,2.8847539810770576e-116,1,8.654261943231173e-116,True
FB,HB,1161.5610237338858,5.891535504520885e-253,1,8.837303256781328e-252,True
FB,MB,444.49975356982515,3.0068025413143966e-97,1,6.443148302816564e-97,True
FB,VS,28.675480769226855,5.931963471267002e-07,1,7.414954339083753e-07,True
FB,WM,791.8161454925945,1.1463273791749489e-172,1,5.731636895874744e-172,True
HB,HB,656.7130048281632,2.4922000736203096e-143,1,9.34575027607616e-143,True
HB,MB,450.61300115908773,1.4145882988348816e-98,1,3.536470747087204e-98,True
HB,VS,62.79171944903208,2.3171351590709907e-14,1,3.475702738606486e-14,True
HB,WM,1032.3388367235361,6.768148488762277e-225,1,5.076111366571708e-224,True
MB,MB,52.465473042530924,4.048249618216217e-12,1,5.520340388476659e-12,True
MB,VS,13.655655655655773,0.0010832084792993665,1,0.0011605805135350355,True
MB,WM,395.8253315531823,1.1158899197718421e-86,1,2.092293599572204e-86,True
VS,VS,2.09523809523809,0.3507719269028123,1,0.3507719269028123,False
VS,WM,26.24527720496,1.9994496255905516e-06,1,2.30705726029679e-06,True
WM,WM,358.6718479162917,1.3043610387495845e-78,1,2.173935064582641e-78,True
L-FB,L-FB,96.55651098411136,1.0789965197378193e-21,2,2.2824926379069257e-21,True
L-FB,L-HB,293.2246454999333,2.1236221703402585e-64,2,1.946653656145237e-63,True
L-FB,L-MB,155.14598658422133,2.0439820074532444e-34,2,5.620950520496422e-34,True
L-FB,L-VS,5.419414935785907,0.0665562737145037,2,0.07957815335429791,False
L-FB,L-WM,178.1225394736785,2.0949902301043103e-39,2,6.401359036429837e-39,True
L-FB,R-FB,257.1914943792093,1.417674733862989e-56,2,1.1138872908923486e-55,True
L-FB,R-HB,244.3517660550465,8.703384684128794e-54,2,5.983576970338546e-53,True
L-FB,R-MB,79.55799043760638,5.299097139927529e-18,2,1.0050011817103935e-17,True
L-FB,R-VS,8.01295238095209,0.018197406583297392,2,0.023275752606543174,True
L-FB,R-WM,190.59779174820585,4.094636848333715e-42,2,1.6086073332739598e-41,True
L-HB,L-HB,187.18285167464094,2.2581885727942235e-41,2,8.280024766912153e-41,True
L-HB,L-MB,145.83407848981665,2.1504642109445314e-32,2,5.632168171521392e-32,True
L-HB,L-VS,20.639393939393784,3.2977106828972094e-05,2,4.9020023664688246e-05,True
L-HB,L-WM,222.34799252655063,5.2209182345828195e-49,2,2.8715050290205506e-48,True
L-HB,R-FB,325.5034087089082,2.0788965499689598e-71,2,1.1433931024829279e-69,True
L-HB,R-HB,312.9758444507518,1.0918397289814613e-68,2,3.002559254699019e-67,True
L-HB,R-MB,59.04632873382502,1.5074837076172953e-13,2,2.5124728460288257e-13,True
L-HB,R-VS,11.793939393939093,0.0027477587572188266,2,0.0037781682911758865,True
L-HB,R-WM,219.87440972570957,1.79836802498793e-48,2,8.99184012493965e-48,True
